Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
1,Henrik Zetterberg,27,LW,22,13,14,27,16,16,7,4,2,4,,,,116,11.2,497,22:36
2,Pavel Datsyuk,29,C,22,10,13,23,13,6,6,4,0,1,,,,74,13.5,477,21:40
3,Johan Franzén,28,C,16,13,5,18,13,14,5,6,2,5,,,,70,18.6,301,18:49
4,Niklas Kronwall,27,D,22,0,15,15,16,18,0,0,0,0,,,,21,0,513,23:20
5,Jiri Hudler,24,RW,22,5,9,14,-1,14,3,2,0,2,,,,46,10.9,255,11:36
6,Brian Rafalski,34,D,22,4,10,14,6,12,2,2,0,0,,,,58,6.9,548,24:53:00
7,Mikael Samuelsson,31,RW,22,5,8,13,8,8,5,0,0,1,,,,79,6.3,351,15:56
8,Nicklas Lidström*,37,D,22,3,10,13,8,14,1,1,1,1,,,,41,7.3,590,26:49:00
9,Tomas Holmström,35,RW,21,4,8,12,4,26,3,1,0,0,,,,41,9.8,361,17:10
10,Valtteri Filppula,23,C,22,5,6,11,7,2,5,0,0,0,,,,39,12.8,367,16:40
11,Brad Stuart,28,D,21,1,6,7,15,14,1,0,0,1,,,,25,4,455,21:40
12,Kris Draper,36,C,22,3,1,4,0,10,3,0,0,1,,,,37,8.1,340,15:27
13,Darren Helm,21,C,18,2,2,4,2,2,2,0,0,0,,,,21,9.5,135,7:30
14,Dallas Drake,38,RW,22,1,3,4,2,12,1,0,0,0,,,,27,3.7,250,11:22
15,Dan Cleary,29,RW,22,2,1,3,1,4,1,0,1,0,,,,54,3.7,392,17:50
16,Darren McCarty,35,RW,17,1,1,2,1,19,1,0,0,0,,,,14,7.1,108,6:23
17,Brett Lebda,26,D,19,0,2,2,0,6,0,0,0,0,,,,12,0,239,12:33
18,Mark Hartigan,30,C,4,0,1,1,0,4,0,0,0,0,,,,0,,21,5:21
19,Andreas Lilja,32,D,12,0,1,1,3,16,0,0,0,0,,,,7,0,169,14:05
20,Kirk Maltby,35,LW,12,0,1,1,0,10,0,0,0,0,,,,10,0,117,9:47
21,Chris Chelios*,46,D,14,0,0,0,2,10,0,0,0,0,,,,11,0,181,12:54
22,Dominik Hasek*,43,G,4,0,0,0,0,2,0,0,0,,,,,0,,206,51:30:00
23,Chris Osgood,35,G,19,0,0,0,0,0,0,0,0,,,,,0,,1160,61:03:00
