Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%
1,Pavel Datsyuk,29,C,82,31,66,97,41,20,20,10,1,6,36,30,0,264,11.7,1753,21:23,8.8,3.7,12.6,42,40,452,380,54.3
2,Henrik Zetterberg,27,LW,75,43,49,92,30,34,26,16,1,7,29,20,0,358,12,1655,22:04,9.9,3.2,13,16,31,666,543,55.1
3,Nicklas Lidström*,37,D,76,10,60,70,40,40,5,5,0,4,30,29,1,188,5.3,2031,26:43:00,6.4,8.1,14.4,70,23,0,0,
4,Brian Rafalski,34,D,73,13,42,55,27,34,3,10,0,1,21,21,0,175,7.4,1757,24:04:00,5.4,6.4,11.7,70,38,0,0,
5,Dan Cleary,29,RW,63,20,22,42,21,33,15,5,0,3,14,7,1,177,11.3,1095,17:23,3.6,2.1,5.7,14,82,56,54,50.9
6,Jiri Hudler,24,RW,81,13,29,42,11,26,10,3,0,2,17,12,0,131,9.9,1067,13:10,2.9,1.7,4.6,8,25,10,16,38.5
7,Tomas Holmström,35,RW,59,20,20,40,9,58,9,11,0,5,13,7,0,137,14.6,1035,17:33,3.5,1.6,5.1,7,58,0,1,0
8,Mikael Samuelsson,31,RW,73,11,29,40,21,26,8,3,0,1,21,8,0,249,4.4,1187,16:16,2.1,2.3,4.4,21,74,6,8,42.9
9,Johan Franzén,28,C,72,27,11,38,12,51,13,14,0,8,8,2,1,199,13.6,1276,17:44,3.4,2,5.3,24,89,189,201,48.5
10,Valtteri Filppula,23,C,78,19,17,36,16,28,16,3,0,3,12,5,0,122,15.6,1323,16:58,2.1,2.2,4.3,26,35,314,307,50.6
11,Niklas Kronwall,27,D,65,7,28,35,25,44,7,0,0,0,20,8,0,108,6.5,1372,21:06,3,5.3,8.3,79,93,0,0,
12,Kris Draper,36,C,65,9,8,17,-2,68,7,0,2,2,8,0,0,97,9.3,1016,15:38,-0.1,1.1,1,25,90,553,391,58.6
13,Brett Lebda,26,D,78,3,11,14,-1,48,3,0,0,1,8,3,0,110,2.7,1285,16:29,0.4,2.9,3.3,38,46,0,1,0
14,Tomas Kopecky,25,RW,77,5,7,12,2,43,5,0,0,1,7,0,0,87,5.7,740,9:37,-0.3,0.9,0.6,17,111,44,65,40.4
15,Chris Chelios*,46,D,69,3,9,12,11,36,3,0,0,1,9,0,0,60,5,1170,16:58,0.3,3.6,3.9,46,56,0,0,
16,Andreas Lilja,32,D,79,2,10,12,-2,93,2,0,0,2,10,0,0,72,2.8,1440,18:14,-0.1,3.2,3.1,114,133,0,1,0
17,Kirk Maltby,35,LW,61,6,4,10,-8,32,6,0,0,1,4,0,0,70,8.6,736,12:04,-0.4,0.5,0.1,17,92,3,4,42.9
18,Dallas Drake,38,RW,65,3,3,6,-12,41,2,0,1,0,3,0,0,46,6.5,696,10:42,-1,0.3,-0.7,25,92,29,41,41.4
19,Matt Ellis,26,LW,35,2,4,6,1,12,2,0,0,1,4,0,0,28,7.1,188,5:23,0.3,0.3,0.6,2,15,43,44,49.4
20,Mark Hartigan,30,C,23,3,1,4,-2,16,3,0,0,0,1,0,0,19,15.8,165,7:09,0.3,0.1,0.4,0,25,60,54,52.6
21,Aaron Downey,33,RW,56,0,3,3,0,116,0,0,0,0,3,0,0,15,0,257,4:35,-0.4,0.3,-0.1,6,79,0,0,
22,Derek Meech,23,D,32,0,3,3,-5,6,0,0,0,0,0,3,0,44,0,388,12:08,-0.1,0.5,0.4,18,22,0,0,
23,Chris Osgood,35,G,43,0,3,3,0,0,0,0,0,0,,,,0,,2409,56:01:00,0,0,6.6,0,0,0,0,
24,Brad Stuart,28,D,9,1,1,2,6,2,1,0,0,0,1,0,0,21,4.8,187,20:46,0.1,0.9,1,13,30,0,0,
25,Jonathan Ericsson,23,D,8,1,0,1,-3,4,0,1,0,0,0,0,0,19,5.3,128,15:58,0.1,0,0.1,3,9,0,0,
26,Dominik Hasek*,43,G,41,0,1,1,0,12,0,0,0,0,,,,0,,2350,57:19:00,0,0,4.5,0,0,0,0,
27,Darren McCarty,35,RW,3,0,1,1,2,2,0,0,0,0,1,0,0,3,0,23,7:47,0,0.1,0.2,1,4,0,0,
28,Mattias Ritola,20,C,2,0,1,1,0,0,0,0,0,0,1,0,0,2,0,12,5:47,0.1,0,0.1,0,0,0,0,
29,Justin Abdelkader,20,LW,2,0,0,0,0,2,0,0,0,0,0,0,0,6,0,24,12:13,-0.1,0,0,0,5,5,7,41.7
30,Darren Helm,21,C,7,0,0,0,-2,2,0,0,0,0,0,0,0,7,0,49,7:00,-0.1,0,-0.2,0,3,5,18,21.7
31,Jimmy Howard,23,G,4,0,0,0,0,0,0,0,0,0,,,,0,,197,49:16:00,0,0,0.8,0,0,0,0,
32,Kyle Quincey,22,D,6,0,0,0,-3,4,0,0,0,0,0,0,0,5,0,84,13:58,-0.1,-0.1,-0.2,7,12,0,0,
33,Garrett Stafford,28,D,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,6:45,0,0,0,0,1,0,0,
